Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,50,0,19,19.898448919921066,18.376707999777864,27.11074900071253,23062.56,7.58038438474476,0.0,19,20,20,21,22,25,27,27,27,27,27
POST,/protected,5000,0,60,52.410109045004276,1.8145909998565912,149.9359600002208,23.8846,758.0384384744759,0.0,60,61,62,62,63,64,65,65,120,150,150
,Aggregated,5050,0,60,52.08821142000347,1.8145909998565912,149.9359600002208,251.99029702970296,765.6188228592207,0.0,60,61,62,62,63,64,65,65,120,150,150
