time,cpu,memory
2026-05-18 20:06:07,6,63
2026-05-18 20:06:09,6,63
2026-05-18 20:06:12,6,63
2026-05-18 20:06:14,6,63
2026-05-18 20:06:16,6,63
2026-05-18 20:06:18,150,67
2026-05-18 20:06:20,150,67
2026-05-18 20:06:22,150,67
2026-05-18 20:06:24,150,67
2026-05-18 20:06:26,150,67
2026-05-18 20:06:28,150,67
2026-05-18 20:06:31,150,67
2026-05-18 20:06:33,150,67
2026-05-18 20:06:35,1150,72
2026-05-18 20:06:37,1150,72
2026-05-18 20:06:39,1150,72
2026-05-18 20:06:41,1150,72
2026-05-18 20:06:43,1150,72
2026-05-18 20:06:45,1150,72
2026-05-18 20:06:47,1150,72
2026-05-18 20:06:50,1002,72
2026-05-18 20:06:52,1002,72
2026-05-18 20:06:54,1002,72
2026-05-18 20:06:56,1002,72
2026-05-18 20:06:58,1002,72
2026-05-18 20:07:00,1002,72
2026-05-18 20:07:02,1002,72
2026-05-18 20:07:05,72,69
2026-05-18 20:07:07,72,69
