Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,100,0,19,19.629639809827495,18.328213000131655,26.286870999683742,23062.59,7.6023154169618525,0.0,19,20,20,20,21,22,22,26,26,26,26
POST,/protected,10000,0,120.0,107.65321472979733,1.8414030000712955,284.8239310005738,23.8901,760.2315416961853,0.0,120,130,130,130,130,130,130,130,230,280,280
,Aggregated,10100,0,120.0,106.78169418603522,1.8414030000712955,284.8239310005738,251.99603960396038,767.8338571131471,0.0,120,130,130,130,130,130,130,130,230,270,280
