Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,250,0,19,20.00193726409634,18.426922999424278,30.98099900125817,23062.588,7.613966518387943,0.0,19,20,20,21,22,23,27,29,31,31,31
POST,/protected,25000,0,310.0,272.7260888095922,2.008195000598789,719.7569069994643,23.89104,761.3966518387944,0.0,310,320,320,320,330,330,330,330,530,630,720
,Aggregated,25250,0,310.0,270.22386948735965,2.008195000598789,719.7569069994643,251.9969504950495,769.0106183571822,0.0,310,320,320,320,330,330,330,330,520,630,720
