Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,500,0,18000.0,17040.865817145932,376.8545980001363,29170.023980001133,10752.43,13.161791243803117,0.0,18000,22000,23000,23000,24000,26000,28000,28000,29000,29000,29000
POST,/protected,50000,0,20,25.58454134235662,1.2062890000379412,102.20088900132396,23.88702,1316.1791243803118,0.0,20,33,41,45,56,62,67,71,87,100,100
,Aggregated,50500,0,21,194.05267278595812,1.2062890000379412,29170.023980001133,130.1102178217822,1329.3409156241148,0.0,21,34,41,46,57,63,71,100,24000,28000,29000
