time,cpu,memory
2026-05-18 21:29:24,24,351
2026-05-18 21:29:27,24,351
2026-05-18 21:29:29,24,351
2026-05-18 21:29:31,24,351
2026-05-18 21:29:33,50,352
2026-05-18 21:29:35,50,352
2026-05-18 21:29:37,50,352
2026-05-18 21:29:39,50,352
2026-05-18 21:29:42,50,352
2026-05-18 21:29:44,50,352
2026-05-18 21:29:46,50,352
2026-05-18 21:29:48,37,352
2026-05-18 21:29:50,37,352
2026-05-18 21:29:52,37,352
2026-05-18 21:29:55,37,352
2026-05-18 21:29:57,37,352
2026-05-18 21:29:59,37,352
2026-05-18 21:30:01,37,352
2026-05-18 21:30:03,24,352
2026-05-18 21:30:05,24,352
2026-05-18 21:30:07,24,352
2026-05-18 21:30:10,24,352
2026-05-18 21:30:12,24,352
2026-05-18 21:30:14,24,352
2026-05-18 21:30:16,24,352
2026-05-18 21:30:18,24,352
2026-05-18 21:30:20,24,352
2026-05-18 21:30:22,24,352
