Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,333,0,35000.0,32381.86182198788,1790.4132459989341,47232.80754000007,21910.558558558558,5.748719117386012,0.0,35000,38000,39000,40000,43000,45000,46000,47000,47000,47000,47000
POST,/protected,33300,0,35,67.99903065243865,1.4065030009078328,437.1375840019027,23.885975975975978,574.8719117386013,0.0,35,120,140,140,150,160,170,190,310,380,440
,Aggregated,33633,0,36,387.93826621021856,1.4065030009078328,47232.80754000007,240.58570451639758,580.6206308559873,0.0,36,120,140,150,160,160,190,380,43000,47000,47000
