Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,1,0,646.0847940034,646.0847940034,646.0847940034,646.0847940034,21910.0,0.7007753917015428,0.0,650,650,650,650,650,650,650,650,650,650,650
POST,/protected,100,0,5,4.31823801016435,1.5835880003578495,7.147708998672897,23.83,70.07753917015428,0.0,5,5,6,6,6,6,7,7,7,7,7
,Aggregated,101,0,5,10.67236232692906,1.5835880003578495,646.0847940034,240.52475247524754,70.77831456185582,0.0,5,5,6,6,6,6,7,7,650,650,650
