Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,50,0,5400.0,5300.62975278015,2461.6725189989666,6352.779536999151,21910.0,6.373981790698898,0.0,5400,5800,5900,6000,6100,6100,6400,6400,6400,6400,6400
POST,/protected,5000,0,5,5.6827666183991825,1.3458190005621873,27.053873000113526,23.8862,637.3981790698898,0.0,5,6,7,8,9,11,12,14,19,27,27
,Aggregated,5050,0,5,58.10798430316876,1.3458190005621873,6352.779536999151,240.58039603960395,643.7721608605887,0.0,5,6,7,8,9,11,14,27,6100,6400,6400
