Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,50,0,8,7.489309280026646,1.7175540006064693,14.261197999985598,3492.38,25.513288454936237,0.0,8,9,10,10,11,13,14,14,14,14,14
GET,/protected,5000,0,6,6.437156710810632,0.7298480004465091,23.6756249996688,23.8854,2551.3288454936237,0.0,6,7,8,8,10,11,14,16,21,24,24
,Aggregated,5050,0,6,6.447574062981087,0.7298480004465091,23.6756249996688,58.226930693069306,2576.84213394856,0.0,6,7,8,9,10,11,14,16,21,24,24
