time,cpu,memory
2026-05-18 18:10:52,5,68
2026-05-18 18:10:54,4,68
2026-05-18 18:10:56,4,68
2026-05-18 18:10:58,4,68
2026-05-18 18:11:00,4,68
2026-05-18 18:11:02,4,68
2026-05-18 18:11:04,4,68
2026-05-18 18:11:07,4,68
2026-05-18 18:11:09,516,70
2026-05-18 18:11:11,516,70
2026-05-18 18:11:13,516,70
2026-05-18 18:11:15,516,70
2026-05-18 18:11:17,516,70
2026-05-18 18:11:19,516,70
2026-05-18 18:11:22,516,70
2026-05-18 18:11:24,447,70
2026-05-18 18:11:26,447,70
2026-05-18 18:11:28,447,70
2026-05-18 18:11:30,447,70
2026-05-18 18:11:32,447,70
2026-05-18 18:11:35,447,70
2026-05-18 18:11:37,447,70
2026-05-18 18:11:39,4,70
2026-05-18 18:11:41,4,70
2026-05-18 18:11:43,4,70
2026-05-18 18:11:45,4,70
2026-05-18 18:11:47,4,70
2026-05-18 18:11:50,4,70
2026-05-18 18:11:52,4,70
