Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,1,0,14.262901999245514,14.262901999245514,14.262901999245514,14.262901999245514,1954.0,1.4993552953540872,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/protected,100,0,3,2.738233900090563,0.8107939993351465,7.006059000559617,23.92,149.9355295354087,0.0,3,3,3,3,4,4,5,7,7,7,7
,Aggregated,101,0,3,2.8523395248346715,0.8107939993351465,14.262901999245514,43.02970297029703,151.4348848307628,0.0,3,3,3,3,4,4,5,7,14,14,14
