Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,500,0,42,41.30118321809641,7.1084139999584295,91.04508300151792,1960.822,30.49038891052608,0.0,42,54,57,59,65,69,76,79,91,91,91
GET,/protected,50000,0,35,34.16184842651984,0.7595110000693239,128.2675319998816,23.88856,3049.0388910526076,0.0,35,41,46,48,54,57,63,67,99,120,130
,Aggregated,50500,0,35,34.23253490960477,0.7595110000693239,128.2675319998816,43.06611881188119,3079.529279963134,0.0,35,41,46,48,54,57,63,67,99,120,130
