time,cpu,memory
2026-05-18 19:47:50,5,59
2026-05-18 19:47:52,5,59
2026-05-18 19:47:54,5,59
2026-05-18 19:47:56,5,59
2026-05-18 19:47:58,5,59
2026-05-18 19:48:00,5,59
2026-05-18 19:48:02,5,59
2026-05-18 19:48:05,217,61
2026-05-18 19:48:07,217,61
2026-05-18 19:48:09,217,61
2026-05-18 19:48:11,217,61
2026-05-18 19:48:13,217,61
2026-05-18 19:48:15,217,61
2026-05-18 19:48:18,217,61
2026-05-18 19:48:20,15,61
2026-05-18 19:48:22,15,61
2026-05-18 19:48:24,15,61
2026-05-18 19:48:26,15,61
2026-05-18 19:48:28,15,61
2026-05-18 19:48:30,15,61
2026-05-18 19:48:33,15,61
2026-05-18 19:48:35,6,61
2026-05-18 19:48:37,6,61
2026-05-18 19:48:39,6,61
2026-05-18 19:48:41,6,61
2026-05-18 19:48:43,6,61
2026-05-18 19:48:46,6,61
2026-05-18 19:48:48,6,61
