Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,250,0,24,24.465822119949735,6.687676001092768,49.958858000536566,1960.224,30.71508618611425,0.0,24,30,33,35,38,41,45,45,50,50,50
GET,/protected,25000,0,21,20.053840967119932,0.7088309994287556,74.66304099943954,23.88908,3071.508618611425,0.0,21,24,26,27,31,33,37,40,66,72,75
,Aggregated,25250,0,21,20.097523948831107,0.7088309994287556,74.66304099943954,43.06071287128713,3102.223704797539,0.0,21,24,26,27,31,34,37,40,66,72,75
