time,cpu,memory
2026-05-18 19:54:52,6,68
2026-05-18 19:54:54,6,68
2026-05-18 19:54:56,6,68
2026-05-18 19:54:58,6,68
2026-05-18 19:55:00,6,68
2026-05-18 19:55:03,6,68
2026-05-18 19:55:05,6,68
2026-05-18 19:55:07,6,68
2026-05-18 19:55:09,6,68
2026-05-18 19:55:11,6,68
2026-05-18 19:55:13,6,68
2026-05-18 19:55:15,6,68
2026-05-18 19:55:17,6,68
2026-05-18 19:55:20,900,70
2026-05-18 19:55:22,900,70
2026-05-18 19:55:24,900,70
2026-05-18 19:55:26,900,70
2026-05-18 19:55:28,900,70
2026-05-18 19:55:30,900,70
2026-05-18 19:55:32,900,70
2026-05-18 19:55:35,118,70
2026-05-18 19:55:37,118,70
2026-05-18 19:55:39,118,70
2026-05-18 19:55:41,118,70
2026-05-18 19:55:43,118,70
2026-05-18 19:55:45,118,70
2026-05-18 19:55:47,118,70
2026-05-18 19:55:50,6,70
2026-05-18 19:55:52,6,70
