Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,1,0,581.9565159981721,581.9565159981721,581.9565159981721,581.9565159981721,40001.0,0.6759850430212182,0.0,580,580,580,580,580,580,580,580,580,580,580
POST,/protected,100,0,7,5.4541620499730925,2.0270439999876544,9.693042000435526,23.86,67.59850430212181,0.0,7,7,7,7,8,9,9,10,10,10,10
,Aggregated,101,0,7,11.162106148470112,2.0270439999876544,581.9565159981721,419.6732673267327,68.27448934514304,0.0,7,7,7,7,8,9,9,10,580,580,580
