Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,1,0,11.275909000687534,11.275909000687534,11.275909000687534,11.275909000687534,1136.0,1.5166014968212977,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/protected,100,0,3,2.7144267200310424,0.7521850002376596,5.000342000130331,23.9,151.66014968212977,0.0,3,3,3,4,4,4,5,5,5,5,5
,Aggregated,101,0,3,2.799193871324671,0.7521850002376596,11.275909000687534,34.91089108910891,153.17675117895106,0.0,3,3,3,4,4,4,5,5,11,11,11
