Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,250,0,15,18.162877372022194,1.8504629988456145,58.62169499960146,4677.208,29.157003519052257,0.0,16,22,25,27,32,37,41,49,59,59,59
GET,/protected,25000,0,27,26.073790101833268,0.739319000786054,82.22824900076375,23.88736,2915.7003519052255,0.0,27,32,34,36,39,41,44,48,74,82,82
,Aggregated,25250,0,27,25.995464233221274,0.739319000786054,82.22824900076375,69.95984158415841,2944.8573554242776,0.0,27,32,34,36,39,41,44,48,73,82,82
