Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,500,0,30,32.88554284606289,1.9316080015414627,102.87205599888694,4677.334,29.384935350121278,0.0,30,44,49,53,61,67,74,76,100,100,100
GET,/protected,50000,0,46,43.81462931848125,0.8370309988094959,125.10107200068887,23.88752,2938.4935350121277,0.0,46,55,58,61,66,71,76,79,110,120,130
,Aggregated,50500,0,46,43.70642054152655,0.8370309988094959,125.10107200068887,69.96124752475248,2967.878470362249,0.0,46,55,58,61,66,71,76,79,110,120,130
