time,cpu,memory
2026-05-18 19:08:02,4,66
2026-05-18 19:08:04,5,66
2026-05-18 19:08:07,5,66
2026-05-18 19:08:09,5,66
2026-05-18 19:08:11,5,66
2026-05-18 19:08:13,5,66
2026-05-18 19:08:15,5,66
2026-05-18 19:08:17,5,66
2026-05-18 19:08:19,594,70
2026-05-18 19:08:21,594,70
2026-05-18 19:08:23,594,70
2026-05-18 19:08:26,594,70
2026-05-18 19:08:28,594,70
2026-05-18 19:08:30,594,70
2026-05-18 19:08:32,594,70
2026-05-18 19:08:34,547,70
2026-05-18 19:08:36,547,70
2026-05-18 19:08:38,547,70
2026-05-18 19:08:40,547,70
2026-05-18 19:08:43,547,70
2026-05-18 19:08:45,547,70
2026-05-18 19:08:47,547,70
2026-05-18 19:08:49,157,69
2026-05-18 19:08:51,157,69
2026-05-18 19:08:53,157,69
2026-05-18 19:08:55,157,69
2026-05-18 19:08:58,157,69
2026-05-18 19:09:00,157,69
2026-05-18 19:09:02,157,69
