time,cpu,memory
2026-05-18 19:09:03,157,69
2026-05-18 19:09:05,4,69
2026-05-18 19:09:07,4,69
2026-05-18 19:09:09,4,69
2026-05-18 19:09:11,4,69
2026-05-18 19:09:13,4,69
2026-05-18 19:09:15,4,69
2026-05-18 19:09:18,4,69
2026-05-18 19:09:20,9,69
2026-05-18 19:09:22,9,69
2026-05-18 19:09:24,9,69
2026-05-18 19:09:26,9,69
2026-05-18 19:09:28,9,69
2026-05-18 19:09:30,9,69
2026-05-18 19:09:33,9,69
2026-05-18 19:09:35,883,71
2026-05-18 19:09:37,883,71
2026-05-18 19:09:39,883,71
2026-05-18 19:09:41,883,71
2026-05-18 19:09:43,883,71
2026-05-18 19:09:46,883,71
2026-05-18 19:09:48,883,71
2026-05-18 19:09:50,6,71
2026-05-18 19:09:52,6,71
2026-05-18 19:09:54,6,71
2026-05-18 19:09:56,6,71
2026-05-18 19:09:58,6,71
2026-05-18 19:10:01,6,71
2026-05-18 19:10:03,6,71
