Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,100,0,41,43.93717365002885,30.238802999519976,77.3670199996559,47830.42,20.857189231508563,0.0,42,47,51,53,57,64,69,77,77,77,77
POST,/protected,10000,0,19,21.97994658340402,2.5785620000533527,184.93389899958856,23.8915,2085.7189231508564,0.0,19,23,26,29,38,49,74,90,160,180,180
,Aggregated,10100,0,19,22.197344871192396,2.5785620000533527,184.93389899958856,497.2234653465347,2106.576112382365,0.0,19,23,27,29,39,50,73,90,160,180,180
