algorithm,key_size,nist_level,security_bits,users,sign_mean_ms,sign_std_ms,verify_mean_ms,verify_std_ms,token_size,signature_size,latency_mean_ms,latency_std_ms,throughput_mean_rps,throughput_std_rps,failures,cpu_mean_m,cpu_std_m,memory_mean_mi,memory_std_mi,threat_level,reward
SPHINCS+-SHA2-128s-simple,sphincs128s,1,128,1,240.4771,208.4513,1.1841,0.6854,10669,7856,8.2594,4.7689,130.132,75.1318,0.0,35.3456,22.0579,239.4287,146.3559,0,-0.004439795683823564
SPHINCS+-SHA2-128s-simple,sphincs128s,1,128,50,806.3958,576.3896,0.3958,0.289,10669,7856,96.5575,84.3654,130.1156,75.1223,0.0,634.08,387.0768,183.0119,114.286,0,-0.036814715782652475
SPHINCS+-SHA2-128s-simple,sphincs128s,1,128,100,2418.9496,1417.2799,0.3733,0.3167,10669,7856,38.0871,22.0688,130.115,75.122,0.0,1085.72,627.3045,271.607,158.2567,0,-0.03827433067041308
SPHINCS+-SHA2-128s-simple,sphincs128s,1,128,250,8050.7887,4889.3544,0.5992,0.3472,10669,7856,118.5318,68.567,130.1129,75.1207,0.0,3499.1367,2026.9398,360.4973,208.8567,0,-0.12598239491502283
SPHINCS+-SHA2-128s-simple,sphincs128s,1,128,500,9592.9336,5550.0139,0.648,0.3748,10669,7856,196.9529,113.7791,130.1112,75.1197,0.0,7756.6067,4481.8363,394.464,227.7568,0,-0.21520874908470983
SPHINCS+-SHA2-192f-simple,sphincs192f,3,192,1,11.1151,15.7191,5.3205,3.0814,47746,35664,9.1598,5.3221,497.2475,287.086,0.0,57.0,36.5151,348.0,200.9179,1,0.23683414739260716
SPHINCS+-SHA2-192f-simple,sphincs192f,3,192,50,30.6039,17.6701,2.2468,1.2978,47746,35664,13.9441,8.1299,497.2182,287.0691,0.0,253.882,147.9647,285.8593,171.4905,1,0.2502454989358504
SPHINCS+-SHA2-192f-simple,sphincs192f,3,192,100,30.7041,17.7274,2.0783,1.2,47746,35664,22.1169,12.7723,497.2218,287.0712,0.0,468.1323,273.9919,209.5263,120.9708,1,0.26590649086830315
SPHINCS+-SHA2-192f-simple,sphincs192f,3,192,250,20.4505,17.6667,2.0014,1.1555,0,0,46.3666,26.7928,497.2237,287.0723,0.0,1112.0467,645.0132,241.4713,139.612,1,0.23882567713856517
SPHINCS+-SHA2-192f-simple,sphincs192f,3,192,500,20.7849,14.7577,1.8839,1.0919,47746,35664,176.1454,126.836,497.2221,287.0713,0.0,2223.68,1313.4515,294.793,183.5456,1,0.15025087517772126
SPHINCS+-SHA2-192s-simple,sphincs192s,3,192,1,637.239,367.9101,1.6975,0.9803,21826,16224,10.8795,6.2829,240.5974,138.909,0.0,23.5591,14.5867,56.6995,32.7562,1,0.18087053115065238
SPHINCS+-SHA2-192s-simple,sphincs192s,3,192,50,3508.7138,2481.612,1.1874,0.7116,21826,16224,209.5593,170.4767,253.9282,147.0099,0.0,1552.4933,953.2783,206.2123,126.4161,1,0.034854651145608415
SPHINCS+-SHA2-192s-simple,sphincs192s,3,192,100,17454.3046,12709.3666,0.9559,0.552,21826,16224,161.8637,93.6586,240.5886,138.9039,0.0,3586.5,2086.8331,285.012,164.5538,1,0.008267460207936866
SPHINCS+-SHA2-192s-simple,sphincs192s,3,192,250,24681.063,14364.1741,0.9895,0.5714,21826,16224,350.9899,202.7098,240.5915,138.9056,0.0,8941.6067,5205.4301,352.631,205.4165,1,-0.1546156701075786
SPHINCS+-SHA2-192s-simple,sphincs192s,3,192,500,26224.5353,15175.0639,1.0163,0.6028,21826,16224,418.2685,242.055,256.8122,148.4668,0.0,10192.4033,5960.6621,333.47,197.3115,1,-0.18511257637320833
SPHINCS+-SHA2-256f-simple,sphincs256f,5,256,1,23.7559,33.5959,4.5187,2.6095,66669,49856,8.6569,5.0079,684.5512,395.2258,0.0,44.5718,26.9656,333.9523,193.3231,2,0.41710130491939135
SPHINCS+-SHA2-256f-simple,sphincs256f,5,256,50,63.7382,36.8839,2.221,1.2848,66669,49856,15.8241,9.2088,684.5721,395.2379,0.0,279.8177,161.78,279.226,172.0035,2,0.4269077654325125
SPHINCS+-SHA2-256f-simple,sphincs256f,5,256,100,61.8053,35.6853,1.3112,1.1387,66669,49856,29.6186,17.3242,684.5736,395.2387,0.0,503.883,294.1108,225.552,132.6848,2,0.43332269030294646
SPHINCS+-SHA2-256f-simple,sphincs256f,5,256,250,44.0681,38.7453,2.0107,1.1609,66669,49856,56.6419,32.8795,684.5738,395.2389,0.0,1098.5887,668.493,334.8617,194.1944,2,0.3833963455279379
SPHINCS+-SHA2-256f-simple,sphincs256f,5,256,500,70.6777,40.8421,2.0735,1.1972,66669,49856,86.4862,50.1407,684.5723,395.238,0.0,2525.74,1525.5705,361.1573,208.5235,2,0.3475350137698189
SPHINCS+-SHA2-256s-simple,sphincs256s,5,256,1,193.7068,193.7068,2.5872,1.4943,0,0,11.828,6.8432,419.6799,242.3023,0.0,48.3071,28.7815,339.7143,196.2508,2,0.27120034522307424
SPHINCS+-SHA2-256s-simple,sphincs256s,5,256,50,3795.7381,2717.6912,1.3717,0.7921,39917,29792,47.5911,31.2516,419.7077,242.3184,0.0,971.0327,628.0768,299.3953,173.073,2,0.256393130624498
SPHINCS+-SHA2-256s-simple,sphincs256s,5,256,100,5562.4743,3274.6139,1.3476,0.7781,39917,29792,82.5466,47.685,419.7025,242.3154,0.0,2182.6067,1269.1743,321.1017,185.3985,2,0.22148942919397685
SPHINCS+-SHA2-256s-simple,sphincs256s,5,256,250,14670.5598,8480.0419,1.4019,0.8097,39917,29792,245.4611,141.742,419.7115,242.3206,0.0,6992.43,4057.1743,398.381,230.3842,2,0.07384102990907489
SPHINCS+-SHA2-256s-simple,sphincs256s,5,256,500,23048.403,13326.806,1.6154,0.9331,39917,29792,321.2758,185.7609,419.7105,242.32,0.0,9746.25,5654.0268,405.0357,234.1429,2,0.008397742603965891
