Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,100,0,5,5.748464800071815,1.9797679997282103,36.06324100110214,6435.05,24.21925417032951,0.0,5,6,6,6,9,13,17,36,36,36,36
GET,/protected,10000,0,19,18.391740839491327,0.8715290005056886,79.29390899880673,23.8928,2421.925417032951,0.0,19,23,24,25,27,29,34,38,58,79,79
,Aggregated,10100,0,19,18.26655988860599,0.8715290005056886,79.29390899880673,87.36960396039603,2446.1446712032807,0.0,19,23,24,25,27,29,34,38,58,78,79
