Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,250,0,6,6.777253367967205,1.8777149998641107,26.00938599971414,6435.072,25.27618101958821,0.0,6,7,8,9,11,14,18,18,26,26,26
GET,/protected,25000,0,48,44.459232730918515,0.8204720015783096,176.2238889987202,23.89008,2527.618101958821,0.0,48,57,62,64,67,69,71,74,140,170,180
,Aggregated,25250,0,47,44.08614382633487,0.8204720015783096,176.2238889987202,87.36712871287129,2552.894282978409,0.0,47,57,62,64,67,69,71,74,140,170,180
