episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
71,12.9391,0.2588,88.73,87.37,366.09,73.36,256,764.09,261.62,94.41,50
72,13.3686,0.2674,20.02,43.06,183.09,63.56,256,730.33,236.09,100.00,50
73,12.9622,0.2592,29.62,684.57,503.88,225.55,256,820.10,295.60,98.60,50
74,12.2244,0.2445,15.82,684.57,279.82,279.23,256,759.63,242.31,85.52,50
75,12.7652,0.2553,15.82,684.57,279.82,279.23,256,806.60,255.98,91.32,50
76,12.9098,0.2582,6.48,34.93,37.24,58.91,128,871.28,263.54,100.00,50
77,9.1690,0.1834,52.15,251.99,112.82,59.78,128,852.49,283.62,94.60,50
78,12.7981,0.2560,19.81,58.23,110.01,63.17,128,837.78,274.01,88.31,50
79,13.5127,0.2703,8.66,684.55,44.57,333.95,256,808.07,289.51,98.10,50
80,13.7178,0.2744,13.94,497.22,253.88,285.86,192,847.51,290.00,85.03,50
81,12.9042,0.2581,15.82,684.57,279.82,279.23,256,820.56,273.55,100.00,50
82,13.7933,0.2759,56.64,684.57,1098.59,334.86,256,757.67,280.61,86.82,50
83,14.1041,0.2821,10.44,43.07,60.71,60.83,256,701.04,250.98,100.00,50
84,16.5002,0.3300,3.09,43.06,12.31,58.00,256,593.92,205.74,100.00,50
85,13.5421,0.2708,10.88,240.60,23.56,56.70,192,724.99,241.17,98.10,50
86,12.1996,0.2440,2.99,34.93,11.75,57.47,128,850.17,243.24,98.81,50
87,15.0747,0.3015,245.46,419.71,6992.43,398.38,256,556.91,209.00,100.00,50
88,14.9376,0.2988,29.62,684.57,503.88,225.55,256,855.16,321.10,89.18,50
89,14.6974,0.2939,86.49,684.57,2525.74,361.16,256,911.92,222.44,98.10,50
90,15.1316,0.3026,56.64,684.57,1098.59,334.86,256,761.58,244.42,91.69,50
91,12.4723,0.2494,29.62,684.57,503.88,225.55,256,796.48,279.38,98.13,50
92,15.1700,0.3034,161.86,240.59,3586.50,285.01,192,566.09,204.12,98.05,50
93,13.3701,0.2674,46.37,497.22,1112.05,241.47,192,836.99,281.06,92.03,50
94,14.4713,0.2894,7.30,69.96,37.71,59.15,192,704.43,250.43,100.00,50
95,13.9505,0.2790,3.51,87.35,9.74,56.62,256,881.54,270.80,98.86,50
96,16.2416,0.3248,20.02,43.06,183.09,63.56,256,774.76,273.47,86.26,50
97,13.7422,0.2748,8.66,684.55,44.57,333.95,256,770.85,258.38,89.22,50
98,14.5451,0.2909,10.44,43.07,60.71,60.83,256,687.76,215.56,100.00,50
99,13.5799,0.2716,29.62,684.57,503.88,225.55,256,811.75,267.69,97.02,50
100,16.0209,0.3204,18.61,87.37,77.66,61.05,256,609.72,241.75,98.53,50
101,14.9839,0.2997,22.12,497.22,468.13,209.53,192,650.68,214.37,100.00,50
102,14.8596,0.2972,3.51,87.35,9.74,56.62,256,695.55,222.24,87.10,50
103,16.3985,0.3280,6.91,43.07,37.08,58.92,256,670.89,179.13,100.00,50
104,15.2960,0.3059,86.49,684.57,2525.74,361.16,256,726.86,239.25,97.55,50
105,16.4898,0.3298,56.64,684.57,1098.59,334.86,256,686.25,194.23,87.49,50
106,14.3990,0.2880,86.49,684.57,2525.74,361.16,256,835.88,245.72,87.44,50
107,15.2059,0.3041,6.91,43.07,37.08,58.92,256,859.07,237.91,90.10,50
108,16.0120,0.3202,15.82,684.57,279.82,279.23,256,841.42,256.04,97.09,50
109,15.4514,0.3090,8.66,684.55,44.57,333.95,256,853.38,238.82,91.17,50
110,15.8929,0.3179,18.61,87.37,77.66,61.05,256,679.65,229.21,100.00,50
111,15.6935,0.3139,11.83,419.68,48.31,339.71,256,763.41,267.82,98.25,50
112,15.2901,0.3058,6.91,43.07,37.08,58.92,256,812.12,235.19,99.02,50
113,14.8129,0.2963,3.51,87.35,9.74,56.62,256,802.27,253.59,87.62,50
114,13.8973,0.2779,56.64,684.57,1098.59,334.86,256,878.78,244.79,93.30,50
115,15.4191,0.3084,86.49,684.57,2525.74,361.16,256,860.22,255.74,100.00,50
116,16.1016,0.3220,9.80,87.36,47.17,58.91,256,766.70,224.87,100.00,50
117,14.5711,0.2914,3.51,87.35,9.74,56.62,256,789.96,246.96,99.10,50
118,14.6825,0.2937,34.82,43.06,311.97,69.16,256,820.37,300.14,99.42,50
119,15.7948,0.3159,86.49,684.57,2525.74,361.16,256,717.93,270.18,100.00,50
120,15.8874,0.3177,8.66,684.55,44.57,333.95,256,619.27,218.43,92.28,50
121,16.0997,0.3220,56.64,684.57,1098.59,334.86,256,649.34,219.86,99.15,50
122,17.1215,0.3424,9.16,497.25,57.00,348.00,192,586.50,205.19,85.51,50
123,16.6967,0.3339,8.66,684.55,44.57,333.95,256,598.69,174.41,93.35,50
124,16.2186,0.3244,8.66,684.55,44.57,333.95,256,765.30,231.10,100.00,50
125,17.4705,0.3494,56.64,684.57,1098.59,334.86,256,531.13,162.02,90.14,50
126,16.8579,0.3372,86.49,684.57,2525.74,361.16,256,536.58,183.39,99.25,50
127,17.1151,0.3423,3.09,43.06,12.31,58.00,256,533.51,183.92,92.38,50
128,15.2760,0.3055,56.64,684.57,1098.59,334.86,256,763.98,250.10,91.55,50
129,16.7555,0.3351,28.50,69.96,77.57,64.44,192,649.74,226.56,89.24,50
130,16.3124,0.3262,29.62,684.57,503.88,225.55,256,581.07,200.72,99.33,50
131,16.7092,0.3342,29.62,684.57,503.88,225.55,256,594.61,198.57,100.00,50
132,15.6734,0.3135,86.49,684.57,2525.74,361.16,256,833.42,264.03,88.21,50
133,17.5094,0.3502,86.49,684.57,2525.74,361.16,256,471.81,169.79,94.24,50
134,17.2866,0.3457,3.09,43.06,12.31,58.00,256,559.96,180.96,99.25,50
135,16.4585,0.3292,86.49,684.57,2525.74,361.16,256,745.08,241.03,85.72,50
136,17.8427,0.3569,29.62,684.57,503.88,225.55,256,463.90,133.21,99.37,50
137,17.0551,0.3411,29.62,684.57,503.88,225.55,256,712.56,234.50,85.20,50
138,17.5973,0.3519,245.46,419.71,6992.43,398.38,256,625.14,171.42,100.00,50
139,16.3380,0.3268,8.66,684.55,44.57,333.95,256,765.34,234.56,89.33,50
140,16.9002,0.3380,86.49,684.57,2525.74,361.16,256,504.67,177.42,94.12,50
141,17.2453,0.3449,44.85,87.36,241.79,65.72,256,567.58,196.05,88.31,50
142,17.0053,0.3401,12.33,69.96,60.39,60.13,192,641.68,210.15,99.18,50
143,17.6594,0.3532,8.66,684.55,44.57,333.95,256,586.21,176.48,99.02,50
144,18.4353,0.3687,8.66,684.55,44.57,333.95,256,499.36,134.59,100.00,50
145,18.9553,0.3791,86.49,684.57,2525.74,361.16,256,412.99,118.17,100.00,50
146,16.9675,0.3394,8.66,684.55,44.57,333.95,256,496.18,128.48,100.00,50
147,17.5991,0.3520,88.73,87.37,366.09,73.36,256,653.88,196.65,91.97,50
148,19.3954,0.3879,29.62,684.57,503.88,225.55,256,377.16,118.79,100.00,50
149,17.6401,0.3528,8.66,684.55,44.57,333.95,256,650.89,187.68,88.43,50
150,18.7618,0.3752,15.82,684.57,279.82,279.23,256,421.41,151.43,99.33,50
151,19.1651,0.3833,56.64,684.57,1098.59,334.86,256,349.10,114.93,100.00,50
152,17.9559,0.3591,7.30,69.96,37.71,59.15,192,417.07,155.69,98.58,50
153,18.3356,0.3667,15.82,684.57,279.82,279.23,256,377.04,131.28,98.19,50
154,17.4117,0.3482,29.62,684.57,503.88,225.55,256,507.95,183.38,98.69,50
155,18.3012,0.3660,56.64,684.57,1098.59,334.86,256,537.29,186.06,100.00,50
156,19.4002,0.3880,86.49,684.57,2525.74,361.16,256,353.68,143.97,86.40,50
157,18.1712,0.3634,15.82,684.57,279.82,279.23,256,516.18,177.36,93.50,50
158,18.3537,0.3671,15.82,684.57,279.82,279.23,256,392.09,157.14,100.00,50
159,18.0800,0.3616,56.64,684.57,1098.59,334.86,256,491.69,140.68,100.00,50
160,20.3612,0.4072,8.66,684.55,44.57,333.95,256,247.53,76.10,100.00,50
161,18.0712,0.3614,15.82,684.57,279.82,279.23,256,449.27,163.55,100.00,50
162,17.5301,0.3506,29.62,684.57,503.88,225.55,256,520.55,156.29,100.00,50
163,17.3292,0.3466,9.16,497.25,57.00,348.00,192,521.10,168.79,98.18,50
164,17.8314,0.3566,29.62,684.57,503.88,225.55,256,482.45,191.56,100.00,50
165,19.4357,0.3887,29.62,684.57,503.88,225.55,256,286.01,78.52,98.47,50
166,17.5105,0.3502,56.64,684.57,1098.59,334.86,256,595.61,154.58,97.18,50
167,19.1234,0.3825,15.82,684.57,279.82,279.23,256,282.28,92.89,100.00,50
168,19.1007,0.3820,15.82,684.57,279.82,279.23,256,416.65,142.52,100.00,50
169,18.1732,0.3635,245.46,419.71,6992.43,398.38,256,460.65,171.26,89.43,50
170,18.9860,0.3797,29.62,684.57,503.88,225.55,256,397.60,109.70,90.14,50
171,19.4502,0.3890,8.66,684.55,44.57,333.95,256,352.02,141.50,100.00,50
172,17.7252,0.3545,29.62,684.57,503.88,225.55,256,456.81,151.64,90.51,50
173,19.2216,0.3844,29.62,684.57,503.88,225.55,256,189.13,66.55,100.00,50
174,19.0308,0.3806,15.82,684.57,279.82,279.23,256,384.61,119.54,100.00,50
175,19.5654,0.3913,56.64,684.57,1098.59,334.86,256,416.01,120.90,100.00,50
176,20.3112,0.4062,6.91,43.07,37.08,58.92,256,274.85,73.77,98.32,50
177,19.7682,0.3954,8.66,684.55,44.57,333.95,256,357.96,116.35,100.00,50
178,18.5805,0.3716,86.49,684.57,2525.74,361.16,256,575.87,160.14,100.00,50
179,19.3173,0.3863,15.82,684.57,279.82,279.23,256,290.60,102.68,89.72,50
180,19.4612,0.3892,29.62,684.57,503.88,225.55,256,475.96,146.40,100.00,50
181,19.4523,0.3890,15.82,684.57,279.82,279.23,256,390.09,132.33,100.00,50
