episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
71,6.0322,0.1206,9.89,34.92,52.92,59.67,128,0.00,0.00,100.00,50
72,7.8271,0.1565,10.44,43.07,60.71,60.83,256,0.00,0.00,100.00,50
73,8.8530,0.1771,20.02,43.06,183.09,63.56,256,0.00,0.00,100.00,50
74,5.4198,0.1084,45.52,69.96,274.59,70.22,192,0.00,0.00,100.00,50
75,7.9988,0.1600,10.67,58.23,64.12,60.14,128,0.00,0.00,100.00,50
76,7.4756,0.1495,9.80,87.36,47.17,58.91,256,0.00,0.00,100.00,50
77,3.9883,0.0798,106.77,251.99,218.08,62.87,128,0.00,0.00,100.00,50
78,6.8461,0.1369,9.89,34.92,52.92,59.67,128,0.00,0.00,100.00,50
79,6.6568,0.1331,38.09,130.12,1085.72,271.61,128,0.00,0.00,100.00,50
80,7.9156,0.1583,118.53,130.11,3499.14,360.50,128,0.00,0.00,100.00,50
81,8.0763,0.1615,2.99,34.93,11.75,57.47,128,0.00,0.00,100.00,50
82,7.2166,0.1443,6.46,58.23,31.99,59.05,128,0.00,0.00,100.00,50
83,5.5650,0.1113,28.50,69.96,77.57,64.44,192,0.00,0.00,100.00,50
84,6.5807,0.1316,96.56,130.12,634.08,183.01,128,0.00,0.00,100.00,50
85,5.2257,0.1045,321.28,419.71,9746.25,405.04,256,0.00,0.00,100.00,50
86,5.6379,0.1128,118.53,130.11,3499.14,360.50,128,0.00,0.00,100.00,50
87,6.5396,0.1308,44.85,87.36,241.79,65.72,256,0.00,0.00,100.00,50
88,5.4570,0.1091,34.82,43.06,311.97,69.16,256,0.00,0.00,100.00,50
89,5.1072,0.1021,47.59,419.71,971.03,299.40,256,0.00,0.00,100.00,50
90,5.3748,0.1075,161.86,240.59,3586.50,285.01,192,0.00,0.00,100.00,50
91,6.5452,0.1309,20.02,43.06,183.09,63.56,256,0.00,0.00,100.00,50
92,5.6710,0.1134,6.48,34.93,37.24,58.91,128,0.00,0.00,100.00,50
