episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
63,30.2736,0.6055,7.30,69.96,37.71,59.15,192,844.41,263.82,88.05,50
64,29.8666,0.5973,118.53,130.11,3499.14,360.50,128,882.68,290.71,88.06,50
65,29.3519,0.5870,56.64,684.57,1098.59,334.86,256,950.73,321.52,90.61,50
66,29.5316,0.5906,6.91,43.07,37.08,58.92,256,891.28,260.97,98.91,50
67,31.2846,0.6257,7.30,69.96,37.71,59.15,192,903.72,325.50,86.32,50
68,28.9208,0.5784,19.81,58.23,110.01,63.17,128,995.89,328.64,87.59,50
69,28.9755,0.5795,6.46,58.23,31.99,59.05,128,784.29,247.98,87.69,50
70,31.5143,0.6303,3.49,69.96,7.57,54.20,192,855.59,275.75,87.01,50
71,30.6362,0.6127,9.89,34.92,52.92,59.67,128,956.09,288.69,87.10,50
72,30.1897,0.6038,3.09,43.06,12.31,58.00,256,873.19,274.14,98.73,50
73,30.8446,0.6169,18.61,87.37,77.66,61.05,256,898.88,276.11,88.83,50
74,31.4713,0.6294,10.44,43.07,60.71,60.83,256,943.07,318.64,85.59,50
75,31.1245,0.6225,3.51,87.35,9.74,56.62,256,949.57,337.64,88.27,50
76,30.9930,0.6199,52.15,251.99,112.82,59.78,128,724.13,225.56,97.40,50
77,30.5613,0.6112,2.99,34.93,11.75,57.47,128,780.18,261.10,94.57,50
78,28.9997,0.5800,209.56,253.93,1552.49,206.21,192,898.67,283.72,93.71,50
79,30.3513,0.6070,19.79,34.92,117.47,63.50,128,736.22,229.18,100.00,50
80,30.3873,0.6077,196.95,130.11,7756.61,394.46,128,832.07,279.55,98.43,50
81,32.1234,0.6425,176.15,497.22,2223.68,294.79,192,880.44,260.10,97.94,50
82,29.5376,0.5908,34.82,43.06,311.97,69.16,256,798.59,288.54,98.02,50
83,30.7318,0.6146,52.15,251.99,112.82,59.78,128,862.47,277.31,86.97,50
84,29.5464,0.5909,29.62,34.92,188.47,69.01,128,962.41,300.27,90.34,50
85,30.6023,0.6120,6.91,43.07,37.08,58.92,256,809.45,257.03,97.33,50
