episode,cumulative_reward,avg_step_reward,latency,throughput,cpu,memory,security_bits,switch_time,service_interrupt,jwt_continuity,steps
71,10.3095,0.2062,56.64,684.57,1098.59,334.86,256,862.38,265.57,100.00,50
72,11.6105,0.2322,6.91,43.07,37.08,58.92,256,844.64,282.99,87.06,50
73,14.0046,0.2801,10.44,43.07,60.71,60.83,256,761.27,264.73,91.83,50
74,13.4754,0.2695,3.51,87.35,9.74,56.62,256,773.44,277.60,97.21,50
75,12.5616,0.2512,3.49,69.96,7.57,54.20,192,798.13,215.21,100.00,50
76,12.9523,0.2590,44.85,87.36,241.79,65.72,256,892.90,304.62,100.00,50
77,13.1917,0.2638,7.30,69.96,37.71,59.15,192,815.49,266.81,89.98,50
78,14.2305,0.2846,15.82,684.57,279.82,279.23,256,730.76,232.05,93.21,50
79,11.0152,0.2203,86.49,684.57,2525.74,361.16,256,932.29,309.82,87.36,50
80,14.2242,0.2845,9.16,497.25,57.00,348.00,192,736.03,221.07,100.00,50
81,12.2947,0.2459,44.85,87.36,241.79,65.72,256,862.41,259.97,94.21,50
82,11.0366,0.2207,12.33,69.96,60.39,60.13,192,968.70,281.33,97.96,50
83,12.7162,0.2543,15.82,684.57,279.82,279.23,256,924.88,260.72,99.47,50
84,12.8489,0.2570,47.59,419.71,971.03,299.40,256,909.35,281.02,100.00,50
85,13.9250,0.2785,6.29,251.97,13.42,53.25,128,846.49,278.20,90.91,50
86,15.7145,0.3143,176.15,497.22,2223.68,294.79,192,613.39,204.33,100.00,50
87,13.8251,0.2765,29.62,684.57,503.88,225.55,256,596.65,236.86,91.73,50
88,12.8529,0.2571,20.02,43.06,183.09,63.56,256,732.63,270.85,85.70,50
89,14.5251,0.2905,86.49,684.57,2525.74,361.16,256,684.26,198.41,97.73,50
90,12.6837,0.2537,11.83,419.68,48.31,339.71,256,878.48,273.04,89.78,50
91,14.6285,0.2926,161.86,240.59,3586.50,285.01,192,699.07,236.82,100.00,50
92,12.8231,0.2565,8.66,684.55,44.57,333.95,256,844.40,268.68,100.00,50
93,15.3184,0.3064,44.85,87.36,241.79,65.72,256,676.96,218.26,99.36,50
94,14.8202,0.2964,47.59,419.71,971.03,299.40,256,897.09,289.50,92.92,50
95,13.8403,0.2768,321.28,419.71,9746.25,405.04,256,710.74,269.82,98.07,50
96,16.3367,0.3267,6.91,43.07,37.08,58.92,256,550.40,177.13,97.89,50
97,13.8510,0.2770,8.66,684.55,44.57,333.95,256,772.14,226.24,85.77,50
98,14.0762,0.2815,3.51,87.35,9.74,56.62,256,756.48,237.68,97.62,50
99,15.5628,0.3113,3.51,87.35,9.74,56.62,256,723.26,268.55,85.27,50
100,17.8736,0.3575,22.12,497.22,468.13,209.53,192,566.78,213.61,98.07,50
101,15.6197,0.3124,8.66,684.55,44.57,333.95,256,580.41,187.28,100.00,50
102,14.7423,0.2948,9.80,87.36,47.17,58.91,256,712.16,242.93,97.37,50
103,15.4434,0.3089,106.77,251.99,218.08,62.87,128,679.11,222.66,87.35,50
104,15.4751,0.3095,86.49,684.57,2525.74,361.16,256,640.48,243.97,91.33,50
105,14.8878,0.2978,9.80,87.36,47.17,58.91,256,609.11,212.49,86.09,50
106,15.5331,0.3107,9.16,497.25,57.00,348.00,192,662.57,215.28,100.00,50
107,16.2235,0.3245,6.91,43.07,37.08,58.92,256,619.13,193.51,97.92,50
108,16.1211,0.3224,44.85,87.36,241.79,65.72,256,661.53,198.49,86.21,50
109,16.6658,0.3333,9.16,497.25,57.00,348.00,192,586.66,209.14,100.00,50
110,15.4890,0.3098,86.49,684.57,2525.74,361.16,256,735.60,232.28,99.44,50
111,14.7703,0.2954,34.82,43.06,311.97,69.16,256,729.36,234.00,100.00,50
112,17.0204,0.3404,8.66,684.55,44.57,333.95,256,623.09,222.47,97.98,50
113,14.4252,0.2885,28.50,69.96,77.57,64.44,192,812.79,277.70,100.00,50
114,15.9617,0.3192,8.66,684.55,44.57,333.95,256,562.87,177.48,98.59,50
115,15.8234,0.3165,3.51,87.35,9.74,56.62,256,754.98,251.37,100.00,50
116,17.9354,0.3587,8.66,684.55,44.57,333.95,256,520.74,151.78,100.00,50
117,16.6956,0.3339,176.15,497.22,2223.68,294.79,192,570.24,194.00,100.00,50
118,17.1243,0.3425,3.09,43.06,12.31,58.00,256,630.67,217.08,85.64,50
119,16.7705,0.3354,56.64,684.57,1098.59,334.86,256,611.88,196.93,94.40,50
120,17.2841,0.3457,86.49,684.57,2525.74,361.16,256,597.52,208.99,100.00,50
121,16.4966,0.3299,34.82,43.06,311.97,69.16,256,618.76,233.91,97.59,50
122,17.6632,0.3533,15.82,684.57,279.82,279.23,256,520.98,157.85,99.05,50
123,17.1005,0.3420,6.91,43.07,37.08,58.92,256,719.21,205.47,90.12,50
124,17.4134,0.3483,86.49,684.57,2525.74,361.16,256,429.48,169.20,98.73,50
125,16.3230,0.3265,8.66,684.55,44.57,333.95,256,617.10,197.61,100.00,50
126,17.1939,0.3439,15.82,684.57,279.82,279.23,256,495.91,155.55,93.68,50
127,17.6390,0.3528,321.28,419.71,9746.25,405.04,256,593.55,162.23,98.28,50
128,16.0222,0.3204,8.66,684.55,44.57,333.95,256,546.17,183.52,100.00,50
129,19.2591,0.3852,29.62,684.57,503.88,225.55,256,485.93,127.75,100.00,50
130,18.8943,0.3779,29.62,684.57,503.88,225.55,256,415.06,127.79,100.00,50
131,17.3688,0.3474,88.73,87.37,366.09,73.36,256,688.75,230.58,100.00,50
132,18.0066,0.3601,86.49,684.57,2525.74,361.16,256,463.48,150.53,100.00,50
133,17.8443,0.3569,86.49,684.57,2525.74,361.16,256,479.79,152.81,100.00,50
134,19.2804,0.3856,56.64,684.57,1098.59,334.86,256,273.69,90.24,100.00,50
135,18.6493,0.3730,15.82,684.57,279.82,279.23,256,345.93,109.90,100.00,50
136,18.8825,0.3776,56.64,684.57,1098.59,334.86,256,308.58,101.98,100.00,50
137,17.8331,0.3567,52.15,251.99,112.82,59.78,128,541.44,196.58,100.00,50
138,18.6632,0.3733,29.62,684.57,503.88,225.55,256,329.06,139.29,97.20,50
139,17.9878,0.3598,15.82,684.57,279.82,279.23,256,711.08,208.92,98.43,50
140,17.2564,0.3451,56.64,684.57,1098.59,334.86,256,523.53,200.37,100.00,50
141,19.0859,0.3817,82.55,419.70,2182.61,321.10,256,430.75,136.59,97.77,50
142,17.5050,0.3501,22.12,497.22,468.13,209.53,192,592.60,197.75,87.22,50
143,17.8235,0.3565,10.44,43.07,60.71,60.83,256,422.28,179.92,89.28,50
144,17.8847,0.3577,18.61,87.37,77.66,61.05,256,376.97,100.23,91.85,50
145,18.9439,0.3789,86.49,684.57,2525.74,361.16,256,428.78,116.22,100.00,50
146,18.3944,0.3679,176.15,497.22,2223.68,294.79,192,417.04,174.57,100.00,50
147,19.2710,0.3854,9.80,87.36,47.17,58.91,256,423.96,111.85,100.00,50
148,19.1018,0.3820,245.46,419.71,6992.43,398.38,256,303.35,112.46,100.00,50
149,18.9283,0.3786,3.51,87.35,9.74,56.62,256,322.07,121.51,100.00,50
150,18.0810,0.3616,86.49,684.57,2525.74,361.16,256,381.10,146.49,100.00,50
151,18.4335,0.3687,8.66,684.55,44.57,333.95,256,466.84,152.84,100.00,50
152,18.2995,0.3660,56.64,684.57,1098.59,334.86,256,436.45,128.64,91.11,50
153,20.6095,0.4122,88.73,87.37,366.09,73.36,256,155.28,48.79,100.00,50
154,19.7502,0.3950,29.62,684.57,503.88,225.55,256,352.26,119.52,100.00,50
155,18.8713,0.3774,176.15,497.22,2223.68,294.79,192,379.24,91.86,100.00,50
156,18.5858,0.3717,18.61,87.37,77.66,61.05,256,441.53,139.04,100.00,50
157,15.5192,0.3104,15.82,684.57,279.82,279.23,256,582.90,186.14,100.00,50
158,18.6663,0.3733,29.62,684.57,503.88,225.55,256,408.96,121.91,97.04,50
159,18.4075,0.3681,15.82,684.57,279.82,279.23,256,599.27,198.83,100.00,50
160,18.4363,0.3687,56.64,684.57,1098.59,334.86,256,510.32,153.57,86.69,50
161,19.8321,0.3966,29.62,684.57,503.88,225.55,256,278.53,96.16,100.00,50
162,19.0620,0.3812,44.85,87.36,241.79,65.72,256,300.41,106.47,98.85,50
163,18.8975,0.3780,29.62,684.57,503.88,225.55,256,369.11,126.60,97.63,50
164,18.4619,0.3692,29.62,684.57,503.88,225.55,256,384.96,152.81,100.00,50
165,18.1898,0.3638,29.62,684.57,503.88,225.55,256,508.89,149.80,100.00,50
166,18.4756,0.3695,86.49,684.57,2525.74,361.16,256,489.64,156.58,100.00,50
167,19.8458,0.3969,15.82,684.57,279.82,279.23,256,376.99,100.33,100.00,50
168,19.5379,0.3908,86.49,684.57,2525.74,361.16,256,335.07,105.08,97.64,50
169,20.2553,0.4051,8.66,684.55,44.57,333.95,256,326.71,83.05,100.00,50
170,19.4317,0.3886,56.64,684.57,1098.59,334.86,256,194.05,82.35,100.00,50
171,19.0560,0.3811,86.49,684.57,2525.74,361.16,256,356.55,124.59,100.00,50
172,18.8039,0.3761,56.64,684.57,1098.59,334.86,256,541.89,179.28,88.16,50
173,18.9775,0.3796,8.66,684.55,44.57,333.95,256,402.87,119.68,100.00,50
174,19.9951,0.3999,56.64,684.57,1098.59,334.86,256,275.30,92.09,100.00,50
175,19.0041,0.3801,88.73,87.37,366.09,73.36,256,411.67,133.85,94.09,50
176,18.5784,0.3716,56.64,684.57,1098.59,334.86,256,401.93,140.61,98.94,50
177,18.8117,0.3762,86.49,684.57,2525.74,361.16,256,450.23,135.49,92.75,50
178,18.8381,0.3768,86.49,684.57,2525.74,361.16,256,412.24,114.85,100.00,50
179,20.1719,0.4034,56.64,684.57,1098.59,334.86,256,251.05,59.65,100.00,50
180,20.3839,0.4077,8.66,684.55,44.57,333.95,256,211.37,70.51,94.10,50
181,19.6378,0.3928,6.91,43.07,37.08,58.92,256,458.39,132.10,100.00,50
182,19.8050,0.3961,56.64,684.57,1098.59,334.86,256,172.18,64.63,100.00,50
183,18.7533,0.3751,29.62,684.57,503.88,225.55,256,234.99,77.83,100.00,50
184,19.5397,0.3908,29.62,684.57,503.88,225.55,256,325.33,103.76,100.00,50
185,18.4506,0.3690,34.82,43.06,311.97,69.16,256,382.76,119.65,97.68,50
186,19.5728,0.3915,56.64,684.57,1098.59,334.86,256,426.85,116.76,100.00,50
187,19.1541,0.3831,56.64,684.57,1098.59,334.86,256,376.09,135.70,100.00,50
